Budget Project Name(s),Dept,Budget Project Code(s),Commissioner District,Estimated Completion Date,Budget Fund(s),Funding Source,Location Name,Operational Impact,Pertinent Information,Project Manager,Project Narrative,Project Phase,Status,Project Priority,Start Date,Strategic Goals,Budget Org Code(s),Budget Account Code(s),Budget Account Name(s),In-House Engineering,FY2027 Proposed,FY2028 Proposed,FY2029 Proposed,FY2030 Proposed,FY2031 Proposed,Total FY2027-FY2031,Status Notes,Last Updated,Last Updated By,FY 2022 Proposed,FY2023 Proposed,FY2024 Proposed,FY2025 Proposed,YouTube Video URL,FY2026 Proposed
CR 1087 Southbound Right Turn Lane,Public Works,10638,District 3,August 2026,Transportation Fund,Transportation & Public Works,,,In-House materials only,Scott Caraway,"The CR 1087 and U.S. Highway 90 Intersection Southbound Right Turn Lane project will improve traffic operations and safety at the intersection by constructing a dedicated southbound right-turn lane from CR 1087 onto U.S. 90. The improvement is intended to provide additional capacity for turning vehicles, reduce delays to through traffic, and improve the overall operation of the intersection. Project design was completed in-house by Walton County Engineering, with construction planned to be performed using County forces.",Construction,Complete,None,May 2026,,,,,,$0,$0,$0,$0,$0,,,9/1/2026,,,$0,$0,$0,,"$50,000"
Driftwood & Ellis Roadway & Drainage Improvements,Engineering,10564,District 4,June 2027,Capital Projects Fund,Transportation & Public Works,,,"The construction contract is Contract No. 25-27 with RBM Contracting Services, LLC. The Board awarded the project for a total not-to-exceed amount of $3,743,685.62, consisting of $3,550,775.27 base bid + $192,910.35 bid alternate. The scope is reconstruction of Driftwood Road and Ellis Road between US 98 and Scenic Gulf Drive",Jim Harman,"The Driftwood and Ellis Roadway, Drainage and Pedestrian Improvements project will reconstruct Driftwood Road and Ellis Road between U.S. Highway 98 and Scenic Gulf Drive in Miramar Beach. The project includes extensive drainage improvements, new curb and gutter, exfiltration drainage systems, roadway reconstruction, and new one-way roadway configurations with 12-foot paved travel lanes. An 8-foot multi-use path will also be constructed to improve pedestrian and bicycle connectivity. The improvements are designed to address recurring drainage concerns while improving safety, mobility, and pedestrian access throughout the corridor.",Construction,In Progress,None,03/2026,,,,,,$0,$0,$0,$0,$0,,"The construction contract is Contract No. 25-27 with RBM Contracting Services, LLC. The Board awarded the project for a total not-to-exceed amount of $3,743,685.62, consisting of $3,550,775.27 base bid + $192,910.35 bid alternate. The scope is reconstruction of Driftwood Road and Ellis Road between US 98 and Scenic Gulf Drive",9/1/2026,,,$0,$0,$0,https://youtu.be/NT3JmZ-1sho?si=SHahlZcNhbP9bJoR,"$6,112,293"
East Violet Lane (Dirt to Pave),Public Works,10567,,,Transportation Fund,Transportation & Public Works,,,In-House,,,Construction,Programmed,None,TBD,,,,,,$0,$0,$0,$0,$0,,,8/27/2026,,,$0,$0,$0,,"$55,500"
Hinote Southbound Left Turn Lane,Public Works,553000,District 3,October 2025,Transportation Fund,Transportation & Public Works,,,,Scott Caraway,"The Hinote Southbound Left Turn Lane project will improve traffic operations and safety along Hinote Road in the Mossy Head area by constructing a dedicated southbound left-turn lane. The improvement is intended to separate turning vehicles from through traffic, reduce delays, and improve the overall safety and operation of the roadway. Design and construction are being performed in-house by Walton County, with Public Works Capital funding programmed for construction materials.",Construction,Complete,None,September 2025,,,,,,$0,$0,$0,$0,$0,,,8/31/2026,,,$0,$0,$0,,"$30,000"
Lafavre Lane (Dirt to Pave),Public Works,10579,District 3,,Transportation Fund,Transportation & Public Works,,,"$55,500 is listed for construction; no start date found.",Scott Caraway,"The proposed project consists of paving an existing county-maintained dirt roadway to improve the overall safety, reliability, and efficiency of the county’s transportation network. The roadway currently serves local residents, school bus traffic, emergency service providers, and other daily users; however, its unpaved condition creates ongoing maintenance challenges, reduced travel reliability, and hazardous driving conditions during periods of heavy rainfall and dry weather. The project will include roadway grading and shaping, installation or improvement of drainage infrastructure as needed, placement of a stabilized base course, and construction of an asphalt pavement surface. Associated work may also include shoulder improvements, traffic control devices, roadway striping, and erosion control measures necessary to provide a durable and safe transportation corridor. Paving this roadway will provide significant long-term benefits to the county and the traveling public. The project will improve vehicle safety by reducing loose aggregate, wash-boarding, rutting, dust generation, and muddy conditions that are commonly associated with dirt roads. The improved surface will enhance traction and visibility while reducing the likelihood of accidents and roadway failures during adverse weather conditions. The project will also improve emergency response access and reliability for law enforcement, fire rescue, and medical personnel by providing a dependable all-weather route. School bus operations and daily commuting conditions for residents will be improved through smoother travel surfaces, reduced vehicle wear and tear, and shorter travel times.
From an operational standpoint, paving the roadway will reduce the county’s recurring maintenance costs associated with grading, reshaping, dust suppression, and storm-related repairs that are routinely required on unpaved roads. The paved surface will provide a longer-lasting transportation asset that can be maintained more efficiently and economically over time. In addition, the project will support continued growth and economic development within the county by improving connectivity between residential areas, agricultural properties, local businesses, and other public infrastructure. The upgraded roadway will strengthen the county transportation system by providing safer and more dependable access for residents and visitors while enhancing the overall quality of life for the surrounding community.",Construction,Programmed,None,TBD,,,,,,$0,$0,$0,$0,$0,,,8/31/2026,,,$0,$0,$0,,"$55,500"
Meteyard Lane (Dirt to Pave),Public Works,10585,District 3,,Transportation Fund,Transportation & Public Works,,,"$55,500 is listed for construction; no start date found.",Scott Caraway,"The proposed project consists of paving an existing county-maintained dirt roadway to improve the overall safety, reliability, and efficiency of the county’s transportation network. The roadway currently serves local residents, school bus traffic, emergency service providers, and other daily users; however, its unpaved condition creates ongoing maintenance challenges, reduced travel reliability, and hazardous driving conditions during periods of heavy rainfall and dry weather. The project will include roadway grading and shaping, installation or improvement of drainage infrastructure as needed, placement of a stabilized base course, and construction of an asphalt pavement surface. Associated work may also include shoulder improvements, traffic control devices, roadway striping, and erosion control measures necessary to provide a durable and safe transportation corridor. Paving this roadway will provide significant long-term benefits to the county and the traveling public. The project will improve vehicle safety by reducing loose aggregate, wash-boarding, rutting, dust generation, and muddy conditions that are commonly associated with dirt roads. The improved surface will enhance traction and visibility while reducing the likelihood of accidents and roadway failures during adverse weather conditions. The project will also improve emergency response access and reliability for law enforcement, fire rescue, and medical personnel by providing a dependable all-weather route. School bus operations and daily commuting conditions for residents will be improved through smoother travel surfaces, reduced vehicle wear and tear, and shorter travel times.
From an operational standpoint, paving the roadway will reduce the county’s recurring maintenance costs associated with grading, reshaping, dust suppression, and storm-related repairs that are routinely required on unpaved roads. The paved surface will provide a longer-lasting transportation asset that can be maintained more efficiently and economically over time. In addition, the project will support continued growth and economic development within the county by improving connectivity between residential areas, agricultural properties, local businesses, and other public infrastructure. The upgraded roadway will strengthen the county transportation system by providing safer and more dependable access for residents and visitors while enhancing the overall quality of life for the surrounding community.",Construction,Programmed,None,TBD,,,,,,$0,$0,$0,$0,$0,,,8/31/2026,,,$0,$0,$0,,"$55,500"
N. Raphael Road Paving (Resurfacing),Public Works,553000,District 3,,Transportation Fund,Transportation & Public Works,,,"The approved plan assigns $88,500 in Public Works maintenance funding, but it is not on the active-project table.",Scott Caraway,"Overlaying the existing asphalt roadway surface will preserve and extend the service life of the County’s transportation infrastructure while improving overall roadway conditions for the traveling public. The project will consist of resurfacing the existing asphalt pavement to address surface deterioration, rutting, cracking, and other deficiencies caused by age, weather, and continuous traffic loading. The proposed asphalt overlay will restore a smooth and structurally sound driving surface, improving ride quality and enhancing roadway safety for motorists, school buses, emergency response vehicles, and commercial traffic. By correcting surface defects and sealing the existing pavement, the project will also reduce water infiltration into the roadway base, helping to prevent accelerated pavement failure and reducing long-term maintenance costs for the County.

In addition to improving safety and drivability, the project will support the County’s ongoing efforts to preserve public infrastructure assets in a cost-effective manner. Timely resurfacing extends the useful life of existing roadways and delays the need for more extensive and expensive reconstruction projects in the future. The improved roadway conditions will also reduce wear and tear on vehicles, enhance drainage performance, and improve overall transportation efficiency within the County.",Construction,Programmed,None,TBD,,,,,,$0,$0,$0,$0,$0,,,8/31/2026,,,$0,$0,$0,,"$88,500"
Grant Nellie Drive Connector Road,Engineering,10288,District 5,January 2027,Grant Funded,,,,Limited NTP issued due to ACOE permitting requirements.,Jim Harman,"The Nellie Drive Connector Road project will extend Nellie Drive approximately one mile from Chat Holley Road to U.S. Highway 98 near the existing traffic signal east of Publix in Santa Rosa Beach. The project will provide an additional north-south connection between U.S. 98 and Chat Holley Road, improving roadway connectivity, emergency access, and access to future development on County-owned property. Improvements include a multi-use pedestrian path, stormwater conveyance and management facilities, and related roadway infrastructure.",Construction,In Progress,None,04/2026,,,,,,$0,$0,$0,$0,$0,,"Construction was awarded to Gulf Coast Utility Contractors, LLC for $7,577,111.55 on February 26, 2026.",9/2/2026,,,$0,$0,$0,https://youtu.be/S02M8bHhJfY?si=z_TBEwlhW4Opy7yL,"$9,200,000"
"Open Gulf, Norwood and Sandtrap Rd Drainage Improvements",Public Works,10589,District 4,,Capital Projects Fund,,,,"The county lists the project under substantially-complete design efforts. The plan assigns $500,000 in FY2026 for materials-only, in-house construction.",Scott Caraway,Drainage improvement project to alleviate flooding issues.,Construction,Programmed,None,TBD,,,,,,$0,$0,$0,$0,$0,,,8/31/2026,,,$0,$0,$0,,"$500,000"
Rembrandt Circle Paving (Resurfacing),Public Works,553000,District 3,,Transportation Fund,,,,"$43,500 is assigned through Public Works maintenance; no start date found.",Scott Caraway,"Overlaying the existing asphalt roadway surface will preserve and extend the service life of the County’s transportation infrastructure while improving overall roadway conditions for the traveling public. The project will consist of resurfacing the existing asphalt pavement to address surface deterioration, rutting, cracking, and other deficiencies caused by age, weather, and continuous traffic loading. The proposed asphalt overlay will restore a smooth and structurally sound driving surface, improving ride quality and enhancing roadway safety for motorists, school buses, emergency response vehicles, and commercial traffic. By correcting surface defects and sealing the existing pavement, the project will also reduce water infiltration into the roadway base, helping to prevent accelerated pavement failure and reducing long-term maintenance costs for the County.

In addition to improving safety and drivability, the project will support the County’s ongoing efforts to preserve public infrastructure assets in a cost-effective manner. Timely resurfacing extends the useful life of existing roadways and delays the need for more extensive and expensive reconstruction projects in the future. The improved roadway conditions will also reduce wear and tear on vehicles, enhance drainage performance, and improve overall transportation efficiency within the County.",Construction,Programmed,None,TBD,,,,,,$0,$0,$0,$0,$0,,,8/31/2026,,,$0,$0,$0,,"$43,500"
Senior Center District 5,Public Works,10645,District 5,,Capital Projects Fund,Transportation & Public Works,,,"General fund - $2,573,038
Rec Plat Fee fund - $1,000,000
Capital fund - $1,426,962",,"The South Walton Community and Senior Center project will provide a dedicated facility at the South Walton Annex Complex to serve the growing senior population and broader community in South Walton. The facility is planned to provide flexible space for senior programs, community activities, meetings, recreation, and other public services. The project will expand access to programs and gathering space while creating a centrally located County facility designed to meet the long-term needs of South Walton residents.",Design,In Progress,None,May 2026,,,,,,$0,$0,$0,$0,$0,,,9/1/2026,,,$0,$0,$0,,"$5,000,000"
W. Renoir Road Paving (Dirt to Pave),Public Works,10560,District 3,,Transportation Fund,,,,"$67,500 is listed for construction through Public Works capital; no start date found.",Scott Caraway,Paving of an existing County maintained roadway.,Construction,Programmed,None,TBD,,,,,,$0,$0,$0,$0,$0,,,8/31/2026,,,$0,$0,$0,,"$67,500"
Grant & St. Joe Match West Bay Parkway,Engineering,10634,District 5,,Grant Funded,,,,,,"The West Bay Parkway project will provide a new regional roadway connection extending from U.S. Highway 98 in Walton County toward the Bay County line and ultimately connecting to State Road 79. The project is intended to improve regional connectivity, provide an additional hurricane evacuation route for South Walton, improve access to the Northwest Florida Beaches International Airport, and help accommodate future transportation demand. The current Walton County project includes final design of a new two-lane roadway with a shared-use path from the Florida Power & Light right-of-way to the Bay County line, along with preliminary engineering for a new bridge over the Gulf Intracoastal Waterway. The corridor is being planned to accommodate future expansion to four lanes.",Design,In Progress,None,09/2026,,,,,,$0,$0,$0,$0,$0,,NTP is start date.,9/1/2026,,,$0,$0,$0,,"$5,000,000"
Country Boulevard (Dirt to Pave),Public Works,553000,District 3,,Transportation Fund,,,,,Scott Caraway,"The proposed project consists of paving an existing county-maintained dirt roadway to improve the overall safety, reliability, and efficiency of the county’s transportation network. The roadway currently serves local residents, school bus traffic, emergency service providers, and other daily users; however, its unpaved condition creates ongoing maintenance challenges, reduced travel reliability, and hazardous driving conditions during periods of heavy rainfall and dry weather. The project will include roadway grading and shaping, installation or improvement of drainage infrastructure as needed, placement of a stabilized base course, and construction of an asphalt pavement surface. Associated work may also include shoulder improvements, traffic control devices, roadway striping, and erosion control measures necessary to provide a durable and safe transportation corridor. Paving this roadway will provide significant long-term benefits to the county and the traveling public. The project will improve vehicle safety by reducing loose aggregate, wash-boarding, rutting, dust generation, and muddy conditions that are commonly associated with dirt roads. The improved surface will enhance traction and visibility while reducing the likelihood of accidents and roadway failures during adverse weather conditions. The project will also improve emergency response access and reliability for law enforcement, fire rescue, and medical personnel by providing a dependable all-weather route. School bus operations and daily commuting conditions for residents will be improved through smoother travel surfaces, reduced vehicle wear and tear, and shorter travel times.
From an operational standpoint, paving the roadway will reduce the county’s recurring maintenance costs associated with grading, reshaping, dust suppression, and storm-related repairs that are routinely required on unpaved roads. The paved surface will provide a longer-lasting transportation asset that can be maintained more efficiently and economically over time. In addition, the project will support continued growth and economic development within the county by improving connectivity between residential areas, agricultural properties, local businesses, and other public infrastructure. The upgraded roadway will strengthen the county transportation system by providing safer and more dependable access for residents and visitors while enhancing the overall quality of life for the surrounding community.",Construction,Programmed,None,TBD,,,,,,$0,$0,$0,$0,$0,,,8/31/2026,,,$0,$0,"$24,000",,$0
Grant CR 393 N Roadway & Pedestrian Improvements Phase I,Engineering,10220,District 5,June 2026,Grant Funded,Grant Funded,,,,Jim Harman,"The CR 393 North Roadway and Pedestrian Improvements project provides roadway and pedestrian infrastructure improvements along CR 393 North in Santa Rosa Beach. The project is intended to improve safety, mobility, and pedestrian connectivity along this important north-south corridor. Improvements include roadway enhancements and pedestrian facilities designed to provide safer travel for motorists, bicyclists, and pedestrians while improving connectivity between the U.S. 98 and Chat Holley Road area.",Construction,In Progress,None,July 2025,,,,,,$0,$0,$0,$0,$0,,,9/1/2026,,,$0,$0,"$2,494,330",,$0
E. Mossyhead Main Street (Resurfacing),Public Works,553000,District 3,October 2025,Transportation Fund,,,,,Scott Caraway,"Overlaying the existing asphalt roadway surface will preserve and extend the service life of the County’s transportation infrastructure while improving overall roadway conditions for the traveling public. The project will consist of resurfacing the existing asphalt pavement to address surface deterioration, rutting, cracking, and other deficiencies caused by age, weather, and continuous traffic loading. The proposed asphalt overlay will restore a smooth and structurally sound driving surface, improving ride quality and enhancing roadway safety for motorists, school buses, emergency response vehicles, and commercial traffic. By correcting surface defects and sealing the existing pavement, the project will also reduce water infiltration into the roadway base, helping to prevent accelerated pavement failure and reducing long-term maintenance costs for the County.

In addition to improving safety and drivability, the project will support the County’s ongoing efforts to preserve public infrastructure assets in a cost-effective manner. Timely resurfacing extends the useful life of existing roadways and delays the need for more extensive and expensive reconstruction projects in the future. The improved roadway conditions will also reduce wear and tear on vehicles, enhance drainage performance, and improve overall transportation efficiency within the County.",Construction,Complete,None,October 2025,,,,,,$0,$0,$0,$0,$0,,,8/31/2026,,,$0,$0,"$37,500",,$0
Josephene Street Paving,Public Works,553000,District 2,,Transportation Fund,,,,,Scott Caraway,"Overlaying the existing asphalt roadway surface will preserve and extend the service life of the County’s transportation infrastructure while improving overall roadway conditions for the traveling public. The project will consist of resurfacing the existing asphalt pavement to address surface deterioration, rutting, cracking, and other deficiencies caused by age, weather, and continuous traffic loading. The proposed asphalt overlay will restore a smooth and structurally sound driving surface, improving ride quality and enhancing roadway safety for motorists, school buses, emergency response vehicles, and commercial traffic. By correcting surface defects and sealing the existing pavement, the project will also reduce water infiltration into the roadway base, helping to prevent accelerated pavement failure and reducing long-term maintenance costs for the County.

In addition to improving safety and drivability, the project will support the County’s ongoing efforts to preserve public infrastructure assets in a cost-effective manner. Timely resurfacing extends the useful life of existing roadways and delays the need for more extensive and expensive reconstruction projects in the future. The improved roadway conditions will also reduce wear and tear on vehicles, enhance drainage performance, and improve overall transportation efficiency within the County.",Construction,Programmed,None,TBD,,,,,,$0,$0,$0,$0,$0,,,8/31/2026,,,$0,$0,"$92,500",,$0
Moll Drive & US 98 Signalization Improvements,Engineering,10480,District 4,03/2026,Transportation Fund,,,,"April 14, 2026, BCC approved Change Order No. 2 for $2,880, described as the final reconciliation change order for a bore that was not included in the original plans.",Jim Harman,"The Moll Drive and U.S. Highway 98 Signalization Improvements project provides new traffic signals at the intersections of U.S. 98 with Moll Drive and Church Street in Santa Rosa Beach. The project is designed to improve intersection safety, traffic operations, and access along the U.S. 98 corridor by providing controlled movements for vehicles entering and exiting the surrounding neighborhoods and businesses. Improvements include new signal equipment, mast arms, pavement markings, signage, and other associated intersection improvements.",Construction,Complete,None,February 2025,,,,,,$0,$0,$0,$0,$0,,,8/31/2026,,,$0,$0,"$818,639",,$0
Grant CR 1883 Improvements Projects Ph I,Engineering,10363,District 2,April 2026,Grant Funded,Grant Funded,,,,Jim Harman,"Design: Chipola Engineering Group, Inc.
Design Task Order: 23-13
Design Cost: $478,207.00 Walton County
CEI: Halff Associates, Inc.
CEI Task Order: 25-08
CEI Cost: $374,381.10 Walton County
Contractor: Southeast Construction Co., LLC
Construction Contract: 25-16
Original Construction Cost: $2,650,557.72 Walton County
Change Order No. 1: −$32,066.22 and +21 calendar days Walton County
Current Construction Cost: $2,618,491.50
Combined Design + CEI + Current Construction: $3,471,079.60
FDOT FPN: 448615-1-54-01",Construction,Complete,None,September 2025,,,,,,$0,$0,$0,$0,$0,,,8/31/2026,,,$0,$0,"$3,471,080",,$0
W Mossyhead Main Street (Resurfacing),Public Works,553000,District 3,October 2025,Transportation Fund,,,,,Scott Caraway,"Overlaying the existing asphalt roadway surface will preserve and extend the service life of the County’s transportation infrastructure while improving overall roadway conditions for the traveling public. The project will consist of resurfacing the existing asphalt pavement to address surface deterioration, rutting, cracking, and other deficiencies caused by age, weather, and continuous traffic loading. The proposed asphalt overlay will restore a smooth and structurally sound driving surface, improving ride quality and enhancing roadway safety for motorists, school buses, emergency response vehicles, and commercial traffic. By correcting surface defects and sealing the existing pavement, the project will also reduce water infiltration into the roadway base, helping to prevent accelerated pavement failure and reducing long-term maintenance costs for the County.

In addition to improving safety and drivability, the project will support the County’s ongoing efforts to preserve public infrastructure assets in a cost-effective manner. Timely resurfacing extends the useful life of existing roadways and delays the need for more extensive and expensive reconstruction projects in the future. The improved roadway conditions will also reduce wear and tear on vehicles, enhance drainage performance, and improve overall transportation efficiency within the County.",Construction,Complete,None,October 2025,,,,,,$0,$0,$0,$0,$0,,,8/31/2026,,,$0,$0,"$58,500",,$0
Royal Palm Avenue (Dirt to Pave),Public Works,10481,District 3,,Transportation Fund,,,,"Appeared in an older capital plan at the same $147,000 amount.",Scott Caraway,"The proposed project consists of paving an existing county-maintained dirt roadway to improve the overall safety, reliability, and efficiency of the county’s transportation network. The roadway currently serves local residents, school bus traffic, emergency service providers, and other daily users; however, its unpaved condition creates ongoing maintenance challenges, reduced travel reliability, and hazardous driving conditions during periods of heavy rainfall and dry weather. The project will include roadway grading and shaping, installation or improvement of drainage infrastructure as needed, placement of a stabilized base course, and construction of an asphalt pavement surface. Associated work may also include shoulder improvements, traffic control devices, roadway striping, and erosion control measures necessary to provide a durable and safe transportation corridor. Paving this roadway will provide significant long-term benefits to the county and the traveling public. The project will improve vehicle safety by reducing loose aggregate, wash-boarding, rutting, dust generation, and muddy conditions that are commonly associated with dirt roads. The improved surface will enhance traction and visibility while reducing the likelihood of accidents and roadway failures during adverse weather conditions. The project will also improve emergency response access and reliability for law enforcement, fire rescue, and medical personnel by providing a dependable all-weather route. School bus operations and daily commuting conditions for residents will be improved through smoother travel surfaces, reduced vehicle wear and tear, and shorter travel times.
From an operational standpoint, paving the roadway will reduce the county’s recurring maintenance costs associated with grading, reshaping, dust suppression, and storm-related repairs that are routinely required on unpaved roads. The paved surface will provide a longer-lasting transportation asset that can be maintained more efficiently and economically over time. In addition, the project will support continued growth and economic development within the county by improving connectivity between residential areas, agricultural properties, local businesses, and other public infrastructure. The upgraded roadway will strengthen the county transportation system by providing safer and more dependable access for residents and visitors while enhancing the overall quality of life for the surrounding community.",Construction,Programmed,None,TBD,,,,,,$0,$0,$0,$0,$0,,,8/31/2026,,,$0,$0,"$147,000",,$0
Cypress Avenue (Dirt to Pave),Public Works,10477,District 3,,Transportation Fund,,,,,Scott Caraway,"The proposed project consists of paving an existing county-maintained dirt roadway to improve the overall safety, reliability, and efficiency of the county’s transportation network. The roadway currently serves local residents, school bus traffic, emergency service providers, and other daily users; however, its unpaved condition creates ongoing maintenance challenges, reduced travel reliability, and hazardous driving conditions during periods of heavy rainfall and dry weather. The project will include roadway grading and shaping, installation or improvement of drainage infrastructure as needed, placement of a stabilized base course, and construction of an asphalt pavement surface. Associated work may also include shoulder improvements, traffic control devices, roadway striping, and erosion control measures necessary to provide a durable and safe transportation corridor. Paving this roadway will provide significant long-term benefits to the county and the traveling public. The project will improve vehicle safety by reducing loose aggregate, wash-boarding, rutting, dust generation, and muddy conditions that are commonly associated with dirt roads. The improved surface will enhance traction and visibility while reducing the likelihood of accidents and roadway failures during adverse weather conditions. The project will also improve emergency response access and reliability for law enforcement, fire rescue, and medical personnel by providing a dependable all-weather route. School bus operations and daily commuting conditions for residents will be improved through smoother travel surfaces, reduced vehicle wear and tear, and shorter travel times.
From an operational standpoint, paving the roadway will reduce the county’s recurring maintenance costs associated with grading, reshaping, dust suppression, and storm-related repairs that are routinely required on unpaved roads. The paved surface will provide a longer-lasting transportation asset that can be maintained more efficiently and economically over time. In addition, the project will support continued growth and economic development within the county by improving connectivity between residential areas, agricultural properties, local businesses, and other public infrastructure. The upgraded roadway will strengthen the county transportation system by providing safer and more dependable access for residents and visitors while enhancing the overall quality of life for the surrounding community.",Construction,Programmed,None,TBD,,,,,,$0,$0,$0,$0,$0,,,8/31/2026,,,$0,$0,"$148,500",,$0
Silk Oak Dr (Dirt to Pave),Public Works,553000,District 3,,Transportation Fund,,,,,Scott Caraway,"The proposed project consists of paving an existing county-maintained dirt roadway to improve the overall safety, reliability, and efficiency of the county’s transportation network. The roadway currently serves local residents, school bus traffic, emergency service providers, and other daily users; however, its unpaved condition creates ongoing maintenance challenges, reduced travel reliability, and hazardous driving conditions during periods of heavy rainfall and dry weather. The project will include roadway grading and shaping, installation or improvement of drainage infrastructure as needed, placement of a stabilized base course, and construction of an asphalt pavement surface. Associated work may also include shoulder improvements, traffic control devices, roadway striping, and erosion control measures necessary to provide a durable and safe transportation corridor. Paving this roadway will provide significant long-term benefits to the county and the traveling public. The project will improve vehicle safety by reducing loose aggregate, wash-boarding, rutting, dust generation, and muddy conditions that are commonly associated with dirt roads. The improved surface will enhance traction and visibility while reducing the likelihood of accidents and roadway failures during adverse weather conditions. The project will also improve emergency response access and reliability for law enforcement, fire rescue, and medical personnel by providing a dependable all-weather route. School bus operations and daily commuting conditions for residents will be improved through smoother travel surfaces, reduced vehicle wear and tear, and shorter travel times.
From an operational standpoint, paving the roadway will reduce the county’s recurring maintenance costs associated with grading, reshaping, dust suppression, and storm-related repairs that are routinely required on unpaved roads. The paved surface will provide a longer-lasting transportation asset that can be maintained more efficiently and economically over time. In addition, the project will support continued growth and economic development within the county by improving connectivity between residential areas, agricultural properties, local businesses, and other public infrastructure. The upgraded roadway will strengthen the county transportation system by providing safer and more dependable access for residents and visitors while enhancing the overall quality of life for the surrounding community.",Construction,Programmed,None,TBD,,,,,,$0,$0,$0,$0,$0,,,8/31/2026,,,$0,$0,"$18,000",,$0
Hope Road Paving,Public Works,553000,District 2,,Transportation Fund,,,,,Scott Caraway,"Overlaying the existing asphalt roadway surface will preserve and extend the service life of the County’s transportation infrastructure while improving overall roadway conditions for the traveling public. The project will consist of resurfacing the existing asphalt pavement to address surface deterioration, rutting, cracking, and other deficiencies caused by age, weather, and continuous traffic loading. The proposed asphalt overlay will restore a smooth and structurally sound driving surface, improving ride quality and enhancing roadway safety for motorists, school buses, emergency response vehicles, and commercial traffic. By correcting surface defects and sealing the existing pavement, the project will also reduce water infiltration into the roadway base, helping to prevent accelerated pavement failure and reducing long-term maintenance costs for the County.

In addition to improving safety and drivability, the project will support the County’s ongoing efforts to preserve public infrastructure assets in a cost-effective manner. Timely resurfacing extends the useful life of existing roadways and delays the need for more extensive and expensive reconstruction projects in the future. The improved roadway conditions will also reduce wear and tear on vehicles, enhance drainage performance, and improve overall transportation efficiency within the County.",Construction,Programmed,None,TBD,,,,,,$0,$0,$0,$0,$0,,,8/31/2026,,,$0,$0,"$45,000",,$0
Hermitage Road Paving,Public Works,553000,District 3,,Transportation Fund,Transportation & Public Works,,,,Scott Caraway,"Overlaying the existing asphalt roadway surface will preserve and extend the service life of the County’s transportation infrastructure while improving overall roadway conditions for the traveling public. The project will consist of resurfacing the existing asphalt pavement to address surface deterioration, rutting, cracking, and other deficiencies caused by age, weather, and continuous traffic loading. The proposed asphalt overlay will restore a smooth and structurally sound driving surface, improving ride quality and enhancing roadway safety for motorists, school buses, emergency response vehicles, and commercial traffic. By correcting surface defects and sealing the existing pavement, the project will also reduce water infiltration into the roadway base, helping to prevent accelerated pavement failure and reducing long-term maintenance costs for the County.

In addition to improving safety and drivability, the project will support the County’s ongoing efforts to preserve public infrastructure assets in a cost-effective manner. Timely resurfacing extends the useful life of existing roadways and delays the need for more extensive and expensive reconstruction projects in the future. The improved roadway conditions will also reduce wear and tear on vehicles, enhance drainage performance, and improve overall transportation efficiency within the County.",Construction,Programmed,None,TBD,,,,,,$0,$0,$0,$0,$0,,,8/31/2026,,,$0,$0,"$46,250",,$0
Helen McCall Park Improvements Phase I Parking & Baseball Fields,Engineering,10194,District 4,,Capital Projects Fund,,,,"2/27/24 $3,901,000 (1/2 project) funding approved.
9/10/24 $4,106,272 (1/2 project ) funding approved in FY 24/25 Work Plan.
9/30/25 Updated Architectural Plans received from Dewberry.
1/27/26 - 4/28/26 - Project on hold due to discussion about changing from sod to turf fields.",David Bush,"The Helen McCall Park Improvements Phase I project provides major recreational and site improvements at Helen McCall Park in Santa Rosa Beach. The project focuses on improvements to the park’s parking areas and baseball facilities, enhancing the functionality, safety, and overall quality of the recreational complex. The improvements are intended to better accommodate youth sports, park visitors, and the growing recreational needs of the South Walton community.",Construction,In Progress,None,September 2026,,,,,,$0,$0,$0,$0,$0,,,9/1/2026,,,$0,$0,"$8,929,041",,$0
CR 280A & 280E Box Culvert / Bridge Replacement,Public Works,10468,,,Transportation Fund,,,,"On November 24, 2025, the Walton County BCC approved ENG Task Order 25-13 with HDR, Inc. for $473,382 for professional engineering/design services for:
- CR 280A Bridge at Bruce Creek — Bridge No. 600067
- CR 280E Bridge at Bruce Creek — Bridge No. 600017",Scott Caraway,"The CR 280 Box Culvert / Bridge Replacement project will replace the existing drainage structure along CR 280 in eastern Walton County. The project is intended to address the condition and long-term serviceability of the existing structure while improving drainage conveyance and maintaining a safe and reliable roadway crossing. Improvements include the design and replacement of the existing box culvert/bridge structure, associated roadway reconstruction, drainage improvements, and related safety features.",Design,In Progress,None,12/1/2025,,,,,,$0,$0,$0,$0,$0,,,9/1/2026,,,$0,$0,"$2,570,000",,$0
